QBName,QB Short,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted By,Draft Year,Salary,Index,PlayerKey,ProfileLookup,Player ID,PlayerImgurl,HeightInInches,Draft Pick (Overall),Draft Round,FixedImg,CurrentTeam,IsCurrentStarter
Blake Bortles,"Bortles, B.",5,26,QB,13,12,236,6-5,Central Florida,4/28/1992,4,6,Jacksonville Jaguars ,2014,5000000,4,JAX4,https://www.pro-football-reference.com/players/B/BortBl00.htm,JAX4,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BortBl00_2019.jpg,77,3,1,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/BortBl00_2019.jpg,TBD,No
Nick Mullens,"Mullens, N.",4,23,QB,8,8,210,6-1,Southern Miss,3/21/1995,0,6,Undrafted,null,129200,42,SFO42,https://www.pro-football-reference.com/players/M/MullNi00.htm,SFO42,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MullNi00_2019.jpg,73,null,null,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/MullNi00_2019.jpg,TBD,No
Alex Smith,"Smith, A.",11,34,QB,10,10,213,6-4,Utah,5/7/1984,13,6,San Francisco 49ers ,2005,13000000,66,WAS66,https://www.pro-football-reference.com/players/S/SmitAl03.htm,WAS66,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SmitAl03_2019.jpg,76,1,1,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/SmitAl03_2019.jpg,TBD,No
Andrew Luck,"Luck, A.",,,,,,,,,,,,,,,,,,,,,,,https://d395i9ljze9h3x.cloudfront.net/req/20180910/images/headshots/LuckAn00_2019.jpg,TBD,No
